Country,Amount,Date
"United States","92,999",2007
"South Africa","63,818",2007
"India","20,737",2007
"Mexico","14,199",2007
"France","10,132",2007
"Germany","7,511",2007
"Peru","7,208",2007
"Russia","7,038",2007
"Thailand","5,152",2007
"Zimbabwe","4,762",2007
"Sweden","4,749",2007
"Colombia","3,379",2007
"Argentina","3,276",2007
"Belgium","3,232",2007
"Spain","2,530",2007
"Philippines","2,409",2007
"Netherlands","2,095",2007
"Chile","1,980",2007
"Poland","1,827",2007
"Lesotho","1,797",2007
"Japan","1,766",2007
"Kazakhstan","1,514",2007
"Bolivia","1,437",2007
"Israel","1,270",2007
"Morocco","1,215",2007
"Turkey","1,148",2007
"New Zealand","1,143",2007
"Romania","1,047",2007
"Norway","945",2007
"Ukraine","878",2007
"Kenya","876",2007
"Algeria","836",2007
"Finland","739",2007
"Austria","710",2007
"Czech Republic","637",2007
"Uganda","599",2007
"Canada","528",2007
"Denmark","492",2007
"Cameroon","447",2007
"Ireland","357",2007
"Mongolia","355",2007
"Belarus","336",2007
"Guatemala","318",2007
"Trinidad and Tobago","317",2007
"Portugal","305",2007
"Kyrgyzstan","300",2007
"Moldova","281",2007
"Bulgaria","225",2007
"Hungary","215",2007
"Lithuania","200",2007
"Greece","185",2007
"Slovakia","182",2007
"Senegal","167",2007
"Croatia","162",2007
"Georgia","156",2007
"Kuwait","137",2007
"The Bahamas","135",2007
"Sierra Leone","135",2007
"Oman","132",2007
"Yemen","125",2007
"Syria","125",2007
"Estonia","122",2007
"Hong Kong","107",2007
"Serbia","105",2007
"Slovenia","97",2007
"Latvia","93",2007
"Guinea","92",2007
"Iceland","87",2007
"Mauritius","77",2007
"Solomon Islands","61",2007
"Saint Vincent and the Grenadines","60",2007
"Tajikistan","47",2007
"Bosnia and Herzegovina","44",2007
"Luxembourg","44",2007
"Albania","41",2007
"Mozambique","41",2007
"Azerbaijan","34",2007
"Grenada","30",2007
"Bahrain","21",2007
"Cyprus","19",2007
"Maldives","5",2007
"Armenia","5",2007
"Andorra","2",2007
"Liechtenstein","1",2007
