Country,Amount,Date
"United States","94,347",2005
"South Africa","68,076",2005
"India","18,359",2005
"Mexico","13,550",2005
"Bangladesh","11,291",2005
"France","9,993",2005
"Russia","9,222",2005
"Germany","8,133",2005
"Peru","6,268",2005
"Thailand","5,071",2005
"Zimbabwe","4,790",2005
"Italy","4,020",2005
"Sweden","3,787",2005
"Argentina","3,154",2005
"Belgium","3,029",2005
"Philippines","2,962",2005
"Colombia","2,627",2005
"Netherlands","2,485",2005
"Spain","2,140",2005
"Japan","2,076",2005
"Poland","1,987",2005
"Chile","1,974",2005
"Turkey","1,694",2005
"Kazakhstan","1,583",2005
"Ecuador","1,499",2005
"Kenya","1,365",2005
"Nicaragua","1,322",2005
"Israel","1,223",2005
"El Salvador","1,185",2005
"Bolivia","1,137",2005
"Romania","1,013",2005
"New Zealand","994",2005
"Ukraine","924",2005
"Norway","798",2005
"Uganda","732",2005
"Austria","678",2005
"Czech Republic","596",2005
"Finland","593",2005
"Cameroon","592",2005
"Canada","565",2005
"Costa Rica","543",2005
"Belarus","483",2005
"Morocco","475",2005
"Denmark","475",2005
"Ireland","451",2005
"Bulgaria","403",2005
"Paraguay","387",2005
"Algeria","376",2005
"Portugal","365",2005
"Trinidad and Tobago","334",2005
"Mongolia","320",2005
"Guatemala","314",2005
"Senegal","301",2005
"Kyrgyzstan","298",2005
"Moldova","280",2005
"Lithuania","265",2005
"Hungary","264",2005
"Latvia","251",2005
"Slovakia","200",2005
"Nepal","191",2005
"Estonia","179",2005
"Greece","177",2005
"Croatia","142",2005
"Georgia","141",2005
"Syria","135",2005
"Singapore","124",2005
"Kuwait","108",2005
"Palestine","105",2005
"Hong Kong","99",2005
"Yemen","95",2005
"Republic of Macedonia","93",2005
"Serbia","89",2005
"Saint Vincent and the Grenadines","87",2005
"The Bahamas","87",2005
"Jordan","78",2005
"Iceland","75",2005
"Solomon Islands","65",2005
"Mozambique","64",2005
"United Arab Emirates","62",2005
"Slovenia","58",2005
"Tajikistan","54",2005
"Albania","49",2005
"Belize","48",2005
"Azerbaijan","44",2005
"Cyprus","39",2005
"Lebanon","39",2005
"Bosnia and Herzegovina","39",2005
"Mauritius","38",2005
"Turkmenistan","27",2005
"Bahrain","25",2005
"Brunei","24",2005
"Grenada","23",2005
"Armenia","15",2005
"Montenegro","8",2005
"Liechtenstein","4",2005
"Monaco","3",2005
